Title,Skills,Experience,Education
Ведущий менеджер по продажам,"Активные продажи, Ведение переговоров, Телефонные переговоры, Прямые продажи, Грамотная речь, Деловая переписка, Работа в команде, Работа с возражениями, Поиск и привлечение клиентов",От 1 года до 3 лет,Not specified
Ведущий аналитик,"Google Analytics, Яндекс.Метрика, Power BI, Python, SQL, ETL, Data Governance, E-Commerce",От 3 до 6 лет,Not specified
Руководитель цифровых трансформаций,"ИТ-инфраструктура, Цифровая трансформация, Информационные технологии, Контроль выполнения задач, Организаторские навыки, Перспектива, Ответственность, Исполнительность",Более 6 лет,Not specified
Разработчик Java,"Git, Java, Spring Framework, ООП, SQL",От 1 года до 3 лет,Not specified
Руководитель проекта,"Atlassian Jira, Atlassian Confluence, PMBOK, MS Excel, MS Project",От 3 до 6 лет,Not specified
QA Engineer / Инженер по тестированию,"Selenium, DataDog, Cypress, Playwright, Manual testing, Automated Testing, CI/CD",От 3 до 6 лет,Not specified
Junior Analyst/Project Manager AI/ML,"ML, Python, Умение управлять структурным подразделением и организовать его работу, Бизнес-анализ, Product, AI",От 1 года до 3 лет,Not specified
Продуктовый аналитик,"SQL, User Experience, Python, Power BI, Unit-экономика, Исследовательский анализ данных, Продуктовые метрики, Анализ данных, Анализ воронки продаж, A/B тесты, Кластерный анализ, Математическая статистика, Визуализация данных, Когортный анализ, Основы маркетинга, Прогнозирование спроса, Сквозная аналитика, Событийная аналитика, Ценообразование, Сегментирование аудитории, Анализ трафика, Анализ целевой аудитории, Веб-аналитика, UX-исследования, Разработка бизнес-требований, Аналитическое мышление, Маркетинговые метрики, Корреляционный анализ, Проверка статистических гипотез",От 1 года до 3 лет,Not specified
Аналитик данных,"Power BI, Tableau, Google Data Studio, Python, SQL",Нет опыта,Not specified
Data аналитик,"SQL, Python, PySpark",От 1 года до 3 лет,Not specified
Product manager/Менеджер продукта,"Управление командой, Продуктовые метрики, Продуктовая стратегия",От 3 до 6 лет,Not specified
Frontend developer (React),"TypeScript, React",От 3 до 6 лет,Not specified
Младший специалист по анализу данных / Junior Data Scientist,"Python, Математическая статистика, Математическое моделирование, Регрессионный анализ",От 1 года до 3 лет,Not specified
Senior Продуктовый маркетолог,"Push-маркетинг, B2C-маркетинг, Digital Marketing, UX-исследования, Яндекс.Метрика, Маркетинговые метрики, A/B тесты, Amplitude, Повышение конверсии, CTR, Customer Journey Mapping",Более 6 лет,Not specified
Java-разработчик,,От 3 до 6 лет,Not specified
Junior iOS developer/Младший iOS разработчик,,Нет опыта,Not specified
Data Analyst (Junior),"Python, SQL, A/B тесты, BI, ML Base, EDA, Продуктовая аналитика",Нет опыта,Not specified
Младший аналитик данных (Junior Data Analyst),"Анализ данных, MS SQL, MS Excel, Power BI, Tableau, Python",Нет опыта,Not specified
Chief Marketing Officer/СМО Дринкит,,Более 6 лет,Not specified
Data Analyst / Fixed Income Analyst (junior),"Базы данных, SQL, API, Математическая статистика, PostgreSQL, MS SQL Server, Инвестиции",Нет опыта,Not specified
Аналитик данных,,Нет опыта,Not specified
Middle+ backend developer Kotlin,SQL,От 3 до 6 лет,Not specified
Project manager IT,,От 3 до 6 лет,Not specified
QA-инженер,"Ручное тестирование, Postman, Тестирование API, Тестирование ПО",От 3 до 6 лет,Not specified
Директор по данным и аналитике / CDO,"Бизнес-анализ, Анализ бизнес-процессов, Моделирование бизнес-процессов, Системный анализ, SQL, Аналитическое мышление, Сквозная аналитика, Оптимизация бизнес-процессов, Управление проектами, Управление бизнес процессами, Стратегия управления рисками, Стратегическое мышление, Управление рисками, Стратегическое планирование, Системное мышление, Управление требованиями",Более 6 лет,Not specified
Директор департамента Информационных Технологий,,Более 6 лет,Not specified
Директор по маркетингу (CMO),,От 3 до 6 лет,Not specified
Data analyst / Аналитик данных,"Python, SQL, PySpark, Big Data",Нет опыта,Not specified
Project manager (методология),,От 1 года до 3 лет,Not specified
Специалист технической поддержки (продукт «Фактор»),"SQL, Linux",От 1 года до 3 лет,Not specified
Лидер проектного управления (PMO Lead) Института ИИ МФТИ,,Более 6 лет,Not specified
Python-разработчик,"Python, Flask, FastAPI, ORM, MySQL, REST API",От 1 года до 3 лет,Not specified
Аналитик данных / Data Science (RuBackup),"ORACLE, PostgreSQL, Python, pandas, SQL, Grafana, Zabbix",От 1 года до 3 лет,Not specified
Операционный директор сети фитнес-клубов,,Более 6 лет,Not specified
Младший аналитик,"SQL, аналитика",Нет опыта,Not specified
Разработчик java/spring,,Более 6 лет,Not specified
Business Analyst / Бизнес-Аналитик,"BusinessAnalyst, DataAnalytics, SQL, BI, API, ETL, BigData, DataDriven, ProductAnalytics, DigitalTransformation, RetailAnalytics, DataVisualization, ProductDevelopment, BusinessIntelligence, SystemAnalysis, BPMN",От 1 года до 3 лет,Not specified
Head of Analytics / Руководитель отдела аналитики,,От 3 до 6 лет,Not specified
Middle аналитик данных,"SQL, Python, Power BI",От 3 до 6 лет,Not specified
Аналитик,"UML, BPMN, SQL, Системный анализ, REST, Use Case Analysis, Деловая коммуникация, Аналитическое мышление, API, Управление требованиями, Базы данных",От 1 года до 3 лет,Not specified
Финансовый менеджер,"Управленческая отчетность, Английский язык, Управление финансами, Подготовка презентаций, Формирование бюджета, Финансовая отчетность, Финансовый контроль, Бюджетирование, Финансовый анализ, Аналитическое мышление, Финансовое планирование, Финансовый менеджмент, Анализ финансовых показателей",От 3 до 6 лет,Not specified
Менеджер по маркетингу,,От 3 до 6 лет,Not specified
Системный аналитик low code CRM,"CRM, SQL, BPMN, Amber, Системный аналитик CRM, JSON API, Git, Моделирование бизнес-процессов, Анализ требований, Постановка задач разработчикам, Green Data, UML, SOAP, Swagger, Terrasoft CRM, Creatio CRM, LOW CODE",От 3 до 6 лет,Not specified
Аналитик,"SQL, Аналитическое мышление, Python",От 1 года до 3 лет,Not specified
Data Analyst \ Аналитик данных,"SQL, Python, MS Excel, Аналитические исследования",От 3 до 6 лет,Not specified
Менеджер по маркетплейсу (Wildberries/Ozon),"ABC-анализ, Продвижение бренда, Анализ эффективности маркетинговых кампаний, Ценообразование, Анализ конкурентной среды, Прогнозирование продаж, Маркетинговый анализ, Аналитика маркетплейсов, Инструменты маркетплейсов, Анализ воронки продаж, Оценка эффективности промо акций, Масштабирование маркетинговых кампаний, Ассортиментная матрица, MS Excel, MPSTATS",Нет опыта,Not specified
Менеджер по пресейл и стратегии,,От 1 года до 3 лет,Not specified
Chief Product Officer,,Более 6 лет,Not specified
Middle python-разработчик,,От 1 года до 3 лет,Not specified
Заместитель начальника отдела разработки функциональных требований,"Анализ бизнес-процессов, Бизнес-анализ, BPMN, Разработка функциональных требований, Управление бизнес процессами, Описание бизнес-процессов",От 3 до 6 лет,Not specified
Аналитик по управлению данными,"SQL, Анализ данных, ORACLE, PostgreSQL, ETL, DWH, Визуализация данных",Нет опыта,Not specified
Руководитель группы аналитики,"категорийная аналитика, MS Excel, SQL, Управление командой, Аналитические исследования",От 3 до 6 лет,Not specified
Java разработчик Консолидированные группы,"Java, Spring Boot, OpenShift, Kubernetes",От 3 до 6 лет,Not specified
Quantitative Analyst,,От 1 года до 3 лет,Not specified
Middle Java Developer,"Spring Framework, Java, SQL, PostgreSQL, Hibernate, Flyway, Apache Maven, NoSQL, Gradle, REST API, Spring Data, Spring Boot, Spring Cloud, Spring Web, Рефакторинг кода, Сбор требований, RabbitMQ, Spring Security, Gitlab",От 1 года до 3 лет,Not specified
Системный аналитик АСУ ОГР,"UML, BPMN, Системный анализ, XML, Atlassian Confluence, ER-диаграммы",От 3 до 6 лет,Not specified
Аналитик хранилищ данных (Middle),SQL,От 3 до 6 лет,Not specified
Директор по аналитике и эффективности технического блока,,Более 6 лет,Not specified
Разработчик хранилищ данных (Middle),"SQL, ETL, Python, C#",От 3 до 6 лет,Not specified
Junior Game Analyst (casual games),"Python, SQL, Математическая статистика, A/B тесты, Data Analysis, Gamedev",От 1 года до 3 лет,Not specified
Руководитель направления работы с маркетплейсами,"E-Commerce, Деловое общение, Аналитическое мышление, Интернет маркетинг, Аналитика продаж, Конкурентная аналитика, Стратегическое мышление, Аналитика, SEO оптимизация",От 3 до 6 лет,Not specified
Data Engineer,"Статистический анализ, Python, Clickhouse, SQL, Разработка технических заданий, Системная интеграция",От 1 года до 3 лет,Not specified
Бизнес-аналитик,,От 1 года до 3 лет,Not specified
